ProductID,ChipType,Node,PartNumber,UnitPrice,CustomerSegment,SupplierID,SupplierName,SupplierType,SupplierLocation,ESGRating,FinancialHealthScore,RawMaterialID,RawMaterialName,RawMaterialCostPerUnit,RawMaterialCountryOfOrigin,LinkLeadTimeDays,SourceType,MinOrderQty,LinkPricePerUnit,ContractIncoterms,ContractCapacityCommitment,SLAOnTimeDelivery,WaferStarts,WaferLeadTimeDays,FabCycleTimeDays,WaferCost,WaferYield,AssemblyLeadTimeDays,PackagingCostPerUnit,AssemblyYield,TestPassRate,OriginCountry,DestinationCountry,ShippingMode,Carrier,AverageTransitTime,ShippingCost,DieInventory,FGInventory,WIPInventory,SafetyStockLevel,InspectionResult,DefectRate,CustomerReturnsRate,SupplierRiskScore,CountryRiskLevel,LeadTimeRisk,SingleSourceFlag,ESGComplianceStatus
PROD2068,GPU,12nm,CH20068,127.23,Industrial,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM003,Copper Wire,5,China,82,Primary,4015,7.33,DDP,5165,90.3,2027,82,49,4617.66,92.89,24,2.3,96.95,98.17,Taiwan,Germany,Air,DHL,12,9799.07,49137,10561,27465,1097,Pass,0.245,0.055,Medium,Medium,Medium,Yes,Non-compliant
PROD2069,SoC,7nm,CH20069,138.17,Data Center,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,69,Primary,7879,6.72,EXW,19974,86.8,13533,69,68,4134.43,94.63,16,4.19,96.87,99.56,China,Germany,Road,DB Cargo,20,11230.83,34342,11711,10670,3381,Pass,0.07,0.098,High,High,Low,Yes,Non-compliant
PROD2070,ASIC,7nm,CH20070,111.33,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM001,Silicon Ingot,50,Japan,118,Primary,2959,68.96,DDP,10094,90.2,10918,118,81,2783.68,93.28,23,3.19,96.99,97.82,Taiwan,Germany,Air,DHL,12,8510.35,6820,24745,6088,2507,Pass,0.124,0.082,Medium,Medium,High,No,Non-compliant
PROD2071,GPU,7nm,CH20071,70.68,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,70,Primary,7481,6.43,CIF,10795,95.6,7577,70,48,3038.32,95.31,26,3.09,97.14,98.98,China,Germany,Rail,UPS,17,19287.96,25997,26861,32640,4689,Pass,0.37,0.087,High,High,Low,Yes,Non-compliant
PROD2072,GPU,7nm,CH20072,130.59,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM002,Photoresist,20,Japan,75,Primary,8777,24.06,FOB,7891,87.8,10164,75,48,3065.01,93.52,22,3.96,96.85,96.54,China,Germany,Rail,DB Cargo,26,5450.75,49626,5007,19666,4843,Pass,0.337,0.086,High,High,Low,No,Non-compliant
PROD2073,GPU,7nm,CH20073,92.19,Automotive,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,62,Primary,6863,12.46,EXW,6205,87.5,14575,62,67,2445.25,92.36,24,2.06,98.59,95.43,USA,Germany,Air,DB Cargo,25,10075.8,23959,27946,31038,2379,Pass,0.326,0.011,Low,Low,Low,Yes,Compliant
PROD2074,SoC,7nm,CH20074,134.96,Industrial,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,82,Primary,3296,6.33,DDP,19654,88.3,2361,82,76,2427.68,93.79,29,0.71,98.75,98.05,China,Germany,Road,UPS,26,8939.4,20639,21339,18928,2017,Pass,0.139,0.085,High,High,Medium,Yes,Non-compliant
PROD2075,GPU,7nm,CH20075,81.08,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,84,Primary,2519,13.03,DDP,10989,85.4,6151,84,49,3289.84,95.76,15,2.12,97.55,96.86,Taiwan,Germany,Air,FedEx,12,6504.38,31298,25392,33175,2155,Pass,0.182,0.055,Medium,Medium,Medium,Yes,Compliant
PROD2076,SoC,5nm,CH20076,61.81,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,97,Primary,7657,11.57,CIF,14092,92.4,8755,97,86,4181.96,98.42,18,3.35,95.37,98.38,Taiwan,Germany,Air,DHL,12,11787.09,36347,24404,15295,4384,Pass,0.19,0.038,Medium,Medium,Medium,No,Non-compliant
PROD2077,ASIC,12nm,CH20077,160.45,Data Center,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,62,Primary,8217,6.16,DDP,13799,92.0,7278,62,63,4331.28,93.32,29,2.64,97.33,95.45,Singapore,Germany,Air,DB Cargo,15,9806.56,18971,10396,4953,4516,Pass,0.212,0.022,Low,Low,Low,No,Compliant
PROD2078,ASIC,7nm,CH20078,52.02,Industrial,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,77,Primary,4977,5.91,CIF,15492,87.0,6050,77,53,2571.9,95.63,26,4.31,97.1,98.06,China,Germany,Sea,DHL,18,17228.4,36656,4397,36061,2856,Pass,0.196,0.07,High,High,Low,Yes,Non-compliant
PROD2079,ASIC,12nm,CH20079,103.79,Consumer Electronics,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,73,Primary,8687,5.66,FOB,16458,89.5,4168,73,84,4973.68,97.56,15,0.76,97.42,96.16,Singapore,Germany,Air,UPS,21,12709.48,21104,2594,20090,2010,Pass,0.303,0.016,Low,Low,Low,Yes,Compliant
PROD2080,SoC,7nm,CH20080,114.18,Industrial,SUP001,TSMC,Foundry,Taiwan,A-,85,RM003,Copper Wire,5,China,104,Primary,5232,6.14,FOB,12946,88.7,5432,104,64,3915.81,94.01,18,1.44,96.51,98.14,Taiwan,Germany,Air,DHL,12,6208.78,25031,19210,34518,3902,Pass,0.219,0.047,Medium,Medium,High,No,Compliant
PROD2081,ASIC,7nm,CH20081,55.91,Automotive,SUP005,UTAC,OSAT,China,B,75,RM001,Silicon Ingot,50,Japan,67,Primary,9247,73.7,DDP,19836,90.7,6063,67,84,4537.47,96.55,20,1.04,96.3,98.58,China,Germany,Road,DHL,29,18326.99,6664,3540,5885,1408,Pass,0.094,0.037,High,High,Low,Yes,Non-compliant
PROD2082,ASIC,12nm,CH20082,104.89,Automotive,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,84,Primary,7678,14.32,EXW,16165,88.0,14439,84,64,3153.61,95.94,25,0.62,96.78,98.06,USA,Germany,Air,UPS,14,8372.23,37022,27526,15889,2498,Pass,0.397,0.087,Low,Low,Medium,Yes,Compliant
PROD2083,ASIC,12nm,CH20083,101.34,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,76,Primary,7722,25.82,CIF,19505,93.2,7160,76,72,3751.93,95.5,13,2.03,97.18,98.55,Taiwan,Germany,Air,DHL,12,13076.58,34593,27863,9188,4014,Pass,0.236,0.085,Medium,Medium,Low,Yes,Non-compliant
PROD2084,GPU,12nm,CH20084,168.21,Automotive,SUP004,Amkor,OSAT,Singapore,A,88,RM002,Photoresist,20,Japan,66,Primary,5993,29.05,FOB,13065,92.7,1240,66,68,2113.48,94.21,23,4.58,98.44,98.29,Singapore,Germany,Air,DB Cargo,18,7395.49,46479,12919,3427,1260,Pass,0.318,0.019,Low,Low,Low,No,Compliant
PROD2085,SoC,5nm,CH20085,189.3,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM002,Photoresist,20,Japan,93,Primary,4734,23.66,FOB,18838,88.3,2980,93,59,4803.43,98.78,23,4.17,95.44,96.43,USA,Germany,Rail,UPS,20,12050.29,12053,27010,34775,4905,Pass,0.194,0.098,Low,Low,Medium,Yes,Compliant
PROD2086,ASIC,12nm,CH20086,183.93,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,96,Primary,5649,26.9,DDP,16570,91.5,7060,96,47,4566.68,92.45,27,0.92,96.11,95.51,Taiwan,Germany,Air,FedEx,12,11311.5,16079,13419,31185,2332,Pass,0.229,0.043,Medium,Medium,Medium,No,Non-compliant
PROD2087,SoC,12nm,CH20087,95.39,Data Center,SUP002,GlobalFoundries,Foundry,USA,A,90,RM002,Photoresist,20,Japan,89,Primary,6600,25.34,CIF,10401,90.0,13696,89,74,2356.46,92.93,20,3.27,98.99,96.0,USA,Germany,Road,UPS,25,10771.49,38736,23795,39981,1289,Pass,0.124,0.064,Low,Low,Medium,No,Compliant
PROD2088,ASIC,7nm,CH20088,172.77,Consumer Electronics,SUP002,GlobalFoundries,Foundry,USA,A,90,RM001,Silicon Ingot,50,Japan,85,Primary,8034,56.37,FOB,6337,92.3,11025,85,69,2315.33,92.63,16,0.76,97.97,95.6,USA,Germany,Sea,UPS,18,9270.68,5630,12068,10673,3756,Pass,0.152,0.016,Low,Low,Medium,Yes,Compliant
PROD2089,SoC,7nm,CH20089,43.69,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,105,Primary,9121,13.79,CIF,10890,95.4,4283,105,63,3012.3,97.17,16,1.61,97.66,97.28,Taiwan,Germany,Air,FedEx,12,16074.54,42834,19913,20396,3295,Pass,0.058,0.052,Medium,Medium,High,Yes,Compliant
PROD2090,SoC,7nm,CH20090,175.47,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,105,Primary,1072,74.44,DDP,7897,87.5,1409,105,89,4207.16,97.13,15,1.4,97.15,98.55,Taiwan,Germany,Air,DHL,12,11034.96,11646,14976,37670,4742,Pass,0.235,0.044,Medium,Medium,High,Yes,Compliant
PROD2091,SoC,12nm,CH20091,101.8,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM004,Packaging Substrate,10,Taiwan,86,Primary,1241,11.3,EXW,18072,93.6,2267,86,69,2092.69,96.74,27,0.6,95.5,98.02,Taiwan,Germany,Air,DB Cargo,12,10371.42,35780,14180,8356,4819,Pass,0.243,0.038,Medium,Medium,Medium,No,Non-compliant
PROD2092,SoC,12nm,CH20092,77.09,Data Center,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,106,Primary,7174,72.83,FOB,12474,92.6,14872,106,88,3234.17,96.48,29,3.38,97.78,99.84,Taiwan,Germany,Air,DHL,12,15459.11,29582,8290,16830,4644,Pass,0.149,0.061,Medium,Medium,High,No,Compliant
PROD2093,Memory,7nm,CH20093,44.28,Industrial,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,93,Primary,4406,71.43,DDP,18392,91.2,10235,93,60,2514.26,98.57,28,3.2,96.1,95.03,Taiwan,Germany,Air,UPS,12,5484.91,31150,10654,36344,1370,Pass,0.069,0.078,Medium,Medium,Medium,No,Compliant
PROD2094,ASIC,12nm,CH20094,144.04,Data Center,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM002,Photoresist,20,Japan,76,Primary,9058,26.11,DDP,17732,87.0,7889,76,79,2749.15,96.55,15,4.2,97.66,95.72,Taiwan,Germany,Air,FedEx,12,10132.5,29368,24271,12071,4729,Pass,0.195,0.021,Medium,Medium,Low,Yes,Non-compliant
PROD2095,Memory,5nm,CH20095,100.12,Automotive,SUP001,TSMC,Foundry,Taiwan,A-,85,RM001,Silicon Ingot,50,Japan,78,Primary,6643,57.91,CIF,9741,95.8,7971,78,59,2961.04,93.0,17,4.84,98.14,98.63,Taiwan,Germany,Air,UPS,12,19918.17,5215,16773,26673,1915,Pass,0.062,0.045,Medium,Medium,Low,No,Compliant
PROD2096,GPU,5nm,CH20096,157.87,Data Center,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,77,Primary,9900,14.21,FOB,5037,95.6,6854,77,65,3921.08,96.56,12,4.65,97.72,97.67,Taiwan,Germany,Air,DB Cargo,12,6619.54,22357,13160,32503,4990,Fail,0.37,0.012,Medium,Medium,Low,Yes,Compliant
PROD2097,SoC,7nm,CH20097,45.23,Consumer Electronics,SUP002,GlobalFoundries,Foundry,USA,A,90,RM002,Photoresist,20,Japan,81,Primary,6579,22.07,FOB,6150,90.4,11683,81,55,3097.67,98.72,28,3.16,98.81,98.09,USA,Germany,Sea,UPS,14,11309.14,45638,19299,15314,1294,Pass,0.392,0.044,Low,Low,Medium,No,Compliant
PROD2098,GPU,12nm,CH20098,135.45,Automotive,SUP005,UTAC,OSAT,China,B,75,RM004,Packaging Substrate,10,Taiwan,78,Primary,1147,14.3,FOB,19748,86.7,1906,78,48,4804.13,92.28,15,4.9,95.91,98.21,China,Germany,Air,FedEx,15,18352.19,7696,14467,31364,4969,Pass,0.308,0.049,High,High,Low,No,Non-compliant
PROD2099,Memory,12nm,CH20099,185.0,Consumer Electronics,SUP001,TSMC,Foundry,Taiwan,A-,85,RM004,Packaging Substrate,10,Taiwan,90,Primary,5246,14.44,CIF,18633,91.5,6984,90,47,3000.55,97.21,11,1.92,96.76,96.19,Taiwan,Germany,Air,FedEx,12,7220.31,41183,15840,19641,3337,Pass,0.277,0.097,Medium,Medium,Medium,No,Compliant
